Test Number,Max Eigenvalue,Iterations for Max,Min Eigenvalue,Iterations for Min,Trace,Determinant
99,1.7917708410364312,12,-0.698775366899285,11,1.092998575762263,-1.2520632026082097,
100,null,infinity,null,infinity,-0.3422835611061088,0.672629584187681,
101,-1.9712677336693711,20,0.9923672165878745,11,-0.9789006565511942,-1.9561778738857563,
102,-2.2414336971702955,6,0.2844024126316108,7,-1.957032509427755,-0.637470242276571,
103,null,infinity,null,infinity,1.7915707024253815,0.9814736794456564,
104,1.6855108150530158,31,-1.41343298627198,65,0.27201293426496953,-2.3824041011721886,
105,null,infinity,null,infinity,-2.8231282736777072,3.1574513629494496,
106,null,infinity,null,infinity,1.2500761292200573,1.4284090820985382,
107,2.027962509307976,7,0.42870774437047077,8,2.4566689961525596,0.8694054966366292,
108,null,infinity,null,infinity,2.002644878498715,1.6494803862438365,
109,2.177759945572427,11,-0.8271317194058211,9,1.3506140290332729,-1.801297924291229,
110,null,infinity,null,infinity,0.7286086658196003,1.2503735692389526,
111,1.0549564818350237,45,-0.8240159435770393,47,0.23090579232549624,-0.8692991175434989,
112,1.545760298072228,28,-1.0844522817002087,29,0.4613087906486162,-1.6762554313583802,
113,0.8280476653207811,6,-0.05715751979343926,7,0.7708882738560638,-0.047329039971148124,
114,-2.332715957473812,41,1.826420826696803,42,-0.5062533812728178,-4.260704194497128,
115,0.7507614190962532,27,-0.5648526939237158,37,0.18593376433801945,-0.4240769351682907,
116,1.509092737048776,18,-0.7848881704995818,15,0.7242033012659128,-1.1844467162981918,
117,null,infinity,null,infinity,0.22286057095550316,2.054117919905865,
118,-2.435703552281279,6,0.514227953756295,11,-1.9214813166082987,-1.2525146740474984,
119,null,infinity,null,infinity,0.054136414276280576,-3.711289186221661,
120,0.20344407647022056,8,-0.03816486658145992,11,0.16528126495901763,-0.007764494994137228,
121,-1.7835915058357632,4,0.016707787866413543,6,-1.7668836533329921,-0.029799867449394557,
122,null,infinity,null,infinity,-2.679822469640131,3.6542020803287008,
123,null,infinity,null,infinity,2.8665668616069424,2.080236102028836,
124,1.4798616074936022,87,-1.2841241474839555,46,0.19575197400143374,-1.9002421433360204,
125,-2.456196277603144,28,1.6168666050502596,16,-0.839276040808409,-3.9714170878506243,
126,null,infinity,null,infinity,0.05282685334154147,-5.195693031733428,
127,-1.724967379938515,14,-0.7779071159230521,12,-2.5028626263362015,1.3418756645899703,
128,-1.734586479790829,14,0.6444275885461332,10,-1.090167301872203,-1.1178157250402605,
129,null,infinity,null,infinity,-0.8054504968758458,1.2031168929885363,
130,-1.0622999498634413,31,0.7686024509607927,40,-0.29370180950199254,-0.8165106626594556,
131,null,infinity,null,infinity,3.113059280304953,3.2558725628285643,
132,1.5896347088901377,26,-0.9528552932063544,20,0.6367510406341483,-1.514700854688399,
133,1.9218927351952697,9,0.334924872451191,7,2.2568215511174947,0.6436906198891758,
134,null,infinity,null,infinity,-0.1887218850003265,2.5515272912129023,
135,1.6228825687548627,6,-0.09135062623249063,7,1.531531782624449,-0.14825131454889032,
136,null,infinity,null,infinity,-1.601003379333675,0.7152773411062157,
137,-1.60992153212971,11,-0.5771496175662382,12,-2.1870548825736864,0.9291605450538798,
138,null,infinity,null,infinity,0.4106847219695462,0.37230657114634225,
139,null,infinity,null,infinity,-2.5173181985144573,2.290244606833066,
140,2.455739808707324,17,-1.1789140949208092,14,1.2768230353707861,-2.8950583167188593,
