i,x01,x02,x03,|x0-xExact|,xN1j,xN2j,xN3j,Nj,xN1g,xN2g,xN3g,Ng,
38,0.9560747840519364,0.7940526428424473,0.07202697800792679,0.9087063629993047,0.0473851,0.0589631,0.0694866,34,0.0473442,0.0589436,0.0694827,7,
39,-0.09912473672635369,-0.45553996013297104,-0.5755899584356414,0.6450636426461678,0.0473845,0.0589626,0.0694862,33,0.0472985,0.0589877,0.0694869,6,
40,0.6453060468133658,0.8276860513891136,-0.20675583517675666,0.7687386829680609,0.0473527,0.0589325,0.0694615,33,0.0473251,0.0589462,0.0694884,7,
41,-0.11478864504145836,-0.9531158785794847,-0.23761288524573954,1.0120632470005373,0.0473543,0.0589340,0.0694627,34,0.0473821,0.0589555,0.0694671,7,
42,-0.9164330614948653,-0.7961766267309731,-0.16207268131638575,0.9638014825474969,0.0473833,0.0589614,0.0694852,35,0.0473818,0.0589540,0.0694676,7,
43,-0.07751118912289501,0.8010583269751694,0.4326056707924919,0.7421109585541168,0.0473850,0.0589631,0.0694866,32,0.0473673,0.0589400,0.0694759,7,
44,0.33772610124775815,0.9229373748832497,-0.9121399327576314,0.9816136169681577,0.0473515,0.0589314,0.0694605,29,0.0473560,0.0589462,0.0694781,8,
45,-0.338496878249851,-0.9419892969722785,-0.8980705527105746,1.0009366653933311,0.0473843,0.0589624,0.0694860,35,0.0473245,0.0590058,0.0694737,6,
46,-0.9866113786313175,-0.023993505460621734,-0.4575112955691141,1.033979799683949,0.0473527,0.0589324,0.0694614,34,0.0473372,0.0589530,0.0694827,7,
47,0.7631944026801603,-0.8685705077093164,0.9887155547132311,0.9275178761303691,0.0473539,0.0589336,0.0694624,31,0.0473802,0.0589487,0.0694694,8,
48,-0.14248510444107798,-0.31338827226181776,-0.8490809329877247,0.918554617198251,0.0473862,0.0589642,0.0694875,33,0.0473215,0.0589583,0.0694866,7,
49,0.3481301271786461,-0.6041795972316903,-0.059327570782007566,0.663126965652743,0.0473531,0.0589328,0.0694617,30,0.0473821,0.0589520,0.0694680,7,
50,-0.9799642165588567,-0.28381414260086335,0.8837419192648783,1.0273326376114882,0.0473546,0.0589342,0.0694629,32,0.0473781,0.0589474,0.0694704,8,
51,0.02443260762128996,-0.8920126740162724,0.10644073466069615,0.950960042437325,0.0473512,0.0589310,0.0694603,32,0.0474023,0.0589518,0.0694613,7,
52,0.5234101052236215,0.6732494239622537,0.36614712626633095,0.6143020555412011,0.0473502,0.0589301,0.0694595,33,0.0473672,0.0589413,0.0694756,7,
53,0.1877099700358138,-0.9451316235507534,0.28172935068207594,1.004078991971806,0.0473854,0.0589635,0.0694869,31,0.0474154,0.0589504,0.0694573,7,
54,0.3599583411535021,0.18333727930436816,-0.8108871465250191,0.8803608307355455,0.0473514,0.0589313,0.0694605,28,0.0473583,0.0589479,0.0694769,8,
55,0.8289592905549443,-0.11471037878334633,-0.6658186819360625,0.7815908695023127,0.0473543,0.0589338,0.0694626,23,0.0473267,0.0589555,0.0694855,7,
56,0.3415560854596249,-0.5647674883059122,-0.4823077171966128,0.6237148567269648,0.0473544,0.0589341,0.0694628,32,0.0473574,0.0589803,0.0694691,6,
57,0.5437859989114244,-0.11356416118095791,0.2361209685283414,0.49641757785879287,0.0473850,0.0589631,0.0694866,30,0.0473849,0.0589466,0.0694684,7,
58,-0.10972609045443593,-0.21290474809744064,-0.7437959630945061,0.8132696473050325,0.0473832,0.0589614,0.0694852,33,0.0473250,0.0589568,0.0694858,7,
59,0.12888685534177924,-0.24432987338536094,0.1394621779614058,0.3032772418064136,0.0473822,0.0589604,0.0694844,27,0.0473830,0.0589482,0.0694686,7,
60,-0.874052963413801,0.12786702488402812,-0.04013997824823479,0.9214213844664326,0.0473503,0.0589302,0.0694596,32,0.0473149,0.0589555,0.0694895,6,
61,0.8705936926458862,0.6514046248993071,-0.44039672420502884,0.8232252715932545,0.0473545,0.0589341,0.0694628,33,0.0473617,0.0589465,0.0694761,8,
62,-0.6596613567703176,0.948463025549859,-0.7298304336628025,0.8895156571288063,0.0473510,0.0589308,0.0694601,30,0.0473580,0.0589460,0.0694775,8,
63,-0.8648656432744815,0.25842324574671593,-0.48888825752516407,0.9122340643271131,0.0473848,0.0589629,0.0694864,33,0.0473258,0.0589519,0.0694868,7,
64,-0.07083344993966079,-0.9439964329696575,0.9852377195302728,1.0029438013907102,0.0473858,0.0589639,0.0694872,29,0.0473803,0.0589489,0.0694693,8,
65,-0.6103455343398414,-0.23247629853113683,-0.25782120088161786,0.657713955392473,0.0473852,0.0589633,0.0694867,33,0.0473410,0.0589676,0.0694778,6,
66,-0.5168163892099253,-0.39630985801751106,0.2624665302505813,0.564184810262557,0.0473521,0.0589319,0.0694610,32,0.0473959,0.0589478,0.0694644,7,
67,-0.48577908531724434,0.25947258159772413,0.9007139375539848,0.8312402533434584,0.0473536,0.0589333,0.0694621,29,0.0474154,0.0589382,0.0694603,7,
68,-0.3631208850416441,-0.38132277205830656,0.9155611436514699,0.8460874594409435,0.0473839,0.0589620,0.0694857,27,0.0473786,0.0589476,0.0694702,8,
69,0.8740144838308852,-0.0693070540608105,0.35481874924121515,0.8266460627782536,0.0473863,0.0589643,0.0694876,32,0.0473911,0.0589452,0.0694667,7,
70,-0.22390718868202342,-0.031067705007261193,-0.44571968694618613,0.5151933711567125,0.0473538,0.0589335,0.0694623,32,0.0473382,0.0589529,0.0694824,7,
71,0.742478430364073,0.5532198655702665,0.7752450202348102,0.7057713360242839,0.0473862,0.0589642,0.0694875,34,0.0473976,0.0589379,0.0694663,7,
72,-0.6294566375503163,0.1648900714130377,0.38694163556794825,0.676825058602948,0.0473845,0.0589626,0.0694862,29,0.0473854,0.0589437,0.0694689,7,
73,0.40383685737147634,0.3934070836815864,-0.272933235158183,0.3564684363188448,0.0473830,0.0589612,0.0694850,30,0.0473353,0.0589490,0.0694843,7,
74,-0.20063759665035108,-0.5413012365484389,0.043938743062014396,0.6002486049694915,0.0473523,0.0589321,0.0694611,32,0.0473867,0.0589507,0.0694668,7,
75,-0.3106000062208336,-0.889463052187732,-0.8593017604583539,0.9484104206087847,0.0473834,0.0589616,0.0694854,35,0.0473229,0.0590036,0.0694748,6,
76,-0.42866701411628205,-0.7322007872798728,-0.3141615933258879,0.7911481557009254,0.0473526,0.0589324,0.0694614,34,0.0473699,0.0589552,0.0694712,7,
77,0.3574465991852418,-0.27548327264262906,0.33583395229091506,0.3344306410636817,0.0473818,0.0589600,0.0694841,28,0.0473967,0.0589464,0.0694645,7,
