Test Number,Max Eigenvalue,Iterations for Max,Min Eigenvalue,Iterations for Min,Trace,Determinant
43,-1.9453633251613904,18,0.9605465090081134,19,-0.9042913508279908,-2.0253085528928167,
44,-1.8131869287574378,5,-14.65380994752654,6,-1.8814288682645306,0.12373486630546397,
45,null,infinity,null,infinity,1.7077360535479973,0.805860915689149,
46,-1.9545637005659968,6,-6.196163231462961,7,-2.1159517167111783,0.31544712542186915,
47,null,infinity,null,infinity,1.5645363407410846,1.2283821657807246,
48,null,infinity,null,infinity,2.6744680144167488,2.2525954507742227,
49,-2.2061673029611795,7,-6.400137491666619,5,-2.362413493936118,0.3447063232450589,
50,1.3568982092721342,34,-0.9876001196555257,38,0.3443816050178463,-1.37393076229929,
51,1.230744811417508,36,-1.1115453845333212,34,0.33106313342726557,-1.1072392976829983,
52,-2.2473141009477087,5,31.22496062957811,5,-2.2152884063133857,-0.07197171848206307,
53,null,infinity,null,infinity,-2.8770979902248626,2.1644967155808534,
54,-1.5840548017872644,20,1.1587754107550612,18,-0.7211006230576991,-1.3669989013479455,
55,2.608184386361955,16,-0.8682031942454205,10,1.456346125870407,-3.0041514560621816,
56,null,infinity,null,infinity,1.667324149203786E-4,-0.874914575752607,
57,-2.5133582827451026,4,-3.0920808887022613,6,-2.836767420149467,0.812837758167734,
58,null,infinity,null,infinity,-0.06886016964532704,1.2972944756043832,
59,1.881940720120183,15,-0.8461566008388357,11,0.7002666051921995,-2.224111552126481,
60,1.783679210239221,7,-3.3716859687083023,8,1.4870871290516714,-0.5290150601953201,
61,null,infinity,null,infinity,1.4795352660613879,1.7550076338250828,
62,0.9296681085258642,81,-1.2411819248425902,73,0.12401977813684528,-0.7490229802088249,
63,-2.316678794226212,12,1.1220763351649727,10,-1.4254918523812612,-2.064636271644294,
64,-1.7651396059930633,18,1.0224768030144027,22,-0.78709359781192,-1.7263419789835406,
65,-1.7752733733749033,6,-7.044651910124923,7,-1.9172225945574515,0.25200268762862765,
66,-1.6113862199649176,6,13.767255760170551,7,-1.5387500054572012,-0.11704482978065267,
67,null,infinity,null,infinity,1.426785216895008,2.616463872706825,
68,2.3458387583026727,9,1.2233168024401204,11,3.1632789725549686,1.9176113437245532,
69,null,infinity,null,infinity,0.8737903429429599,1.2617874229125179,
70,null,infinity,null,infinity,-0.43999880291864146,0.19525150870987257,
71,null,infinity,null,infinity,-3.4436780375319467,2.976908769262266,
72,-1.9871228450941003,43,0.6338878654773837,43,-0.40962866149504196,-3.134747882172842,
73,-1.50562713841866,15,1.2820837849130164,17,-0.7256270355852608,-1.1743598954157526,
74,2.2171743305465594,72,-0.5256790828874548,53,0.31482092852220767,-4.217935818329659,
75,1.7540841071410609,9,-2.541314801532749,10,1.3605803233691827,-0.6902231253429214,
76,null,infinity,null,infinity,1.2924026720948336,2.2105461288960075,
77,null,infinity,null,infinity,-0.11035501766389455,-2.116305145842002,
78,1.4724504475903073,8,-3.5759267139774766,9,1.1927980011650656,-0.4117657714604204,
79,-1.8754293445284373,9,2.572910511065552,8,-1.4867611912979912,-0.7289103465479242,
80,1.4640796073165958,13,-1.8531143128693157,13,0.9244365239074468,-0.7900630659236645,
81,null,infinity,null,infinity,0.20165092794247874,0.032157467234323056,
82,-2.271828792818635,11,1.2021753111545619,13,-1.4400196553727898,-1.8897663240298443,
83,2.564370666600966,12,-0.71886100620049,8,1.17342117987597,-3.567162653704753,
84,-1.4127329284938397,19,1.3277411413817646,16,-0.6595791052005304,-1.0640319491404675,
85,2.0623565921389626,9,4.313083373100878,5,2.294213061626417,0.47816349073768527,
86,2.6340425397988,8,-1.6806792090027536,10,2.03903946221985,-1.5672490590289807,
87,null,infinity,null,infinity,0.22617431932957244,1.3839428554908983,
88,null,infinity,null,infinity,0.9664801316444223,1.9373916202173949,
89,-2.0883087822360134,11,1.4340276316324492,12,-1.3909645930217729,-1.4562404029917408,
90,1.5402965468446546,15,-1.5573795346847015,14,0.8981873371685225,-0.9890184313156964,
91,2.2373060731594983,10,-1.4639153603274653,12,1.5541973719059374,-1.5283115456268364,
92,1.0550881753243528,46,-1.1769311946466234,56,0.2054553688154912,-0.8964739379926236,
93,-1.4763730622431324,21,-1.2648927672589376,12,-2.266943118090645,1.1671985341610116,
94,-2.2013812898033494,45,0.5978381514524771,32,-0.5286576087872197,-3.6823813704452286,
95,1.8187786995995894,10,-2.0921847927460697,10,1.3408200727180737,-0.8693227338820043,
96,-1.240360389885192,7,8.845184752743048,6,-1.1273039215921172,-0.1402299347587549,
97,-2.4604220972517994,9,1.4760688129962978,10,-1.7829449830253568,-1.6668651143572095,
98,1.4679964217298591,7,7.064667672633807,7,1.6095449128176638,0.20779407295491517,
99,null,infinity,null,infinity,-0.5957686060078591,0.20883777493790556,
100,-2.4453343271097174,14,0.9021739276733045,15,-1.3368997145897468,-2.7105409786717436,
101,-1.4210043319860717,6,-6.514986476881183,8,-1.5745003947576075,0.21811364319285365,
102,1.272449123908789,69,-0.9018598979167332,72,0.16362380274095978,-1.4109763204620496,
103,-1.6067796937369347,5,5.891488712651845,9,-1.4370425023902795,-0.2727290582979709,
104,1.7239743661679405,24,-0.9306058159057573,21,0.6494063684528348,-1.8524763997977458,
105,null,infinity,null,infinity,2.417655806875046,3.236987616163376,
106,null,infinity,null,infinity,3.4981121335611625,5.055350124099133,
107,-2.3978198141408607,7,2.323336025358925,10,-1.967408801279022,-1.0320617182918528,
108,-2.056189642028017,91,0.5353707886209672,96,-0.18826623607677861,-3.840896123734437,
109,2.7865812238982066,12,-1.0791630286168332,9,1.8599380793273452,-2.582194354786866,
110,-1.2343727491054506,10,3.6930703179908115,9,-0.9635868675084591,-0.33423764650211685,
111,1.2295185658610341,12,-2.6613186823060677,12,0.8537692449407155,-0.4619967220064648,
112,2.2706792256799324,7,3.0515997525080514,8,2.598373825147367,0.7440946527838954,
113,-1.815731005653591,6,-4.656388715461789,7,-2.030486616558827,0.38994361916409925,
114,null,infinity,null,infinity,-2.162783293310394,1.252085597924905,
115,null,infinity,null,infinity,-0.6485978205010863,0.3668724290780472,
116,null,infinity,null,infinity,-0.4821689845502748,0.2517545008823846,
117,null,infinity,null,infinity,3.489155036343936,4.012732397172186,
118,null,infinity,null,infinity,0.20216502094586364,-3.807863187602223,
119,2.6954930593838933,6,-14.216454532555304,5,2.6251520795788164,-0.18960375378397853,
120,null,infinity,null,infinity,0.7621139582553758,0.6572897910046179,
121,null,infinity,null,infinity,-3.3066542193610076,4.2528631836967525,
122,-1.7516744203454495,5,15.05036371978213,6,-1.685231739759908,-0.1163875860909939,
123,null,infinity,null,infinity,2.07116085205158,2.404753234841838,
124,null,infinity,null,infinity,-1.1387234769519332,0.797665437747462,
